Group,Bin_group,product,pre_reading,post_reading,worker_id,age,gender,education,income
LC,C,camera,46,44,32,26-35,Male,Bachelors,"$300,001 - $500,000"
LC,C,headphone,45,45,32,26-35,Male,Bachelors,"$300,001 - $500,000"
LC,C,laptop,49,45,32,26-35,Male,Bachelors,"$300,001 - $500,000"
LC,C,camera,39,38,11111,46-55,Female,Bachelors,"0 - $100,000"
LC,C,headphone,45,39,11111,46-55,Female,Bachelors,"0 - $100,000"
LC,C,laptop,39,36,11111,46-55,Female,Bachelors,"0 - $100,000"
T,T,camera,26,38,: COPIEDA2LULA8Q07RFN5,26-35,Male,Bachelors,"$100,001 - $200,000"
T,T,headphone,39,38,: COPIEDA2LULA8Q07RFN5,26-35,Male,Bachelors,"$100,001 - $200,000"
T,T,laptop,38,32,: COPIEDA2LULA8Q07RFN5,26-35,Male,Bachelors,"$100,001 - $200,000"
HC,C,camera,43,43,A020119332PTI0Z709SLO,26-35,Female,Bachelors,"0 - $100,000"
HC,C,headphone,45,46,A020119332PTI0Z709SLO,26-35,Female,Bachelors,"0 - $100,000"
HC,C,laptop,45,45,A020119332PTI0Z709SLO,26-35,Female,Bachelors,"0 - $100,000"
LC,C,camera,50,43,A04923991F3PSJNU8U7NT,26-35,Male,High school/GED,"0 - $100,000"
LC,C,headphone,34,29,A04923991F3PSJNU8U7NT,26-35,Male,High school/GED,"0 - $100,000"
LC,C,laptop,44,31,A04923991F3PSJNU8U7NT,26-35,Male,High school/GED,"0 - $100,000"
T,T,camera,42,44,A079789010EVSPIBCSWFO,26-35,Male,Bachelors,"0 - $100,000"
T,T,headphone,42,50,A079789010EVSPIBCSWFO,26-35,Male,Bachelors,"0 - $100,000"
T,T,laptop,36,49,A079789010EVSPIBCSWFO,26-35,Male,Bachelors,"0 - $100,000"
T,T,camera,47,47,A10042UW3Q59GF,26-35,Female,Bachelors,"0 - $100,000"
T,T,headphone,42,42,A10042UW3Q59GF,26-35,Female,Bachelors,"0 - $100,000"
T,T,laptop,14,13,A10042UW3Q59GF,26-35,Female,Bachelors,"0 - $100,000"
LC,C,camera,40,47,A103A7PRZURWVQ,26-35,Male,Masters,"$300,001 - $500,000"
LC,C,headphone,44,39,A103A7PRZURWVQ,26-35,Male,Masters,"$300,001 - $500,000"
LC,C,laptop,44,46,A103A7PRZURWVQ,26-35,Male,Masters,"$300,001 - $500,000"
HC,C,camera,38,40,A10BM9M5Q8J6K0,56+,Male,Bachelors,"$300,001 - $500,000"
HC,C,headphone,36,39,A10BM9M5Q8J6K0,56+,Male,Bachelors,"$300,001 - $500,000"
HC,C,laptop,33,38,A10BM9M5Q8J6K0,56+,Male,Bachelors,"$300,001 - $500,000"
HC,C,camera,44,46,A1100QF8QXZJP7,26-35,Female,Masters,"0 - $100,000"
HC,C,headphone,46,48,A1100QF8QXZJP7,26-35,Female,Masters,"0 - $100,000"
HC,C,laptop,45,48,A1100QF8QXZJP7,26-35,Female,Masters,"0 - $100,000"
T,T,camera,46,46,A113XPG6TXPMO2,56+,Female,Masters,"0 - $100,000"
T,T,headphone,45,45,A113XPG6TXPMO2,56+,Female,Masters,"0 - $100,000"
T,T,laptop,50,50,A113XPG6TXPMO2,56+,Female,Masters,"0 - $100,000"
LC,C,camera,42,44,A11C3YKXF3IKGU,46-55,Male,Bachelors,"$100,001 - $200,000"
LC,C,headphone,42,43,A11C3YKXF3IKGU,46-55,Male,Bachelors,"$100,001 - $200,000"
LC,C,laptop,41,39,A11C3YKXF3IKGU,46-55,Male,Bachelors,"$100,001 - $200,000"
T,T,camera,43,49,A11ILN5YSUDVG8,56+,Female,Masters,"0 - $100,000"
T,T,headphone,36,33,A11ILN5YSUDVG8,56+,Female,Masters,"0 - $100,000"
T,T,laptop,44,45,A11ILN5YSUDVG8,56+,Female,Masters,"0 - $100,000"
LC,C,camera,42,40,A11NQRQHMYW5N,36-45,Male,Bachelors,"0 - $100,000"
LC,C,headphone,38,36,A11NQRQHMYW5N,36-45,Male,Bachelors,"0 - $100,000"
LC,C,laptop,43,41,A11NQRQHMYW5N,36-45,Male,Bachelors,"0 - $100,000"
HC,C,camera,45,45,A11RICJRXZ9Z0P,36-45,Female,Bachelors,"$100,001 - $200,000"
HC,C,headphone,39,35,A11RICJRXZ9Z0P,36-45,Female,Bachelors,"$100,001 - $200,000"
HC,C,laptop,41,39,A11RICJRXZ9Z0P,36-45,Female,Bachelors,"$100,001 - $200,000"
T,T,camera,15,9,A12H8YZ180UW05,26-35,Female,High school/GED,"0 - $100,000"
T,T,headphone,41,22,A12H8YZ180UW05,26-35,Female,High school/GED,"0 - $100,000"
T,T,laptop,15,5,A12H8YZ180UW05,26-35,Female,High school/GED,"0 - $100,000"
T,T,camera,37,36,A12NNJKHIZP1TY,56+,Female,High school/GED,"0 - $100,000"
T,T,headphone,37,34,A12NNJKHIZP1TY,56+,Female,High school/GED,"0 - $100,000"
T,T,laptop,40,39,A12NNJKHIZP1TY,56+,Female,High school/GED,"0 - $100,000"
T,T,camera,37,39,A12UVTYGWSV0G,36-45,Female,Bachelors,"0 - $100,000"
T,T,headphone,39,38,A12UVTYGWSV0G,36-45,Female,Bachelors,"0 - $100,000"
T,T,laptop,36,36,A12UVTYGWSV0G,36-45,Female,Bachelors,"0 - $100,000"
T,T,camera,50,41,A136QQ0V2IMFF3,26-35,Female,Doctorate,"0 - $100,000"
T,T,headphone,50,42,A136QQ0V2IMFF3,26-35,Female,Doctorate,"0 - $100,000"
T,T,laptop,50,35,A136QQ0V2IMFF3,26-35,Female,Doctorate,"0 - $100,000"
T,T,camera,46,45,A13ASIJ31D76UN,26-35,Male,Bachelors,"0 - $100,000"
T,T,headphone,46,47,A13ASIJ31D76UN,26-35,Male,Bachelors,"0 - $100,000"
T,T,laptop,45,45,A13ASIJ31D76UN,26-35,Male,Bachelors,"0 - $100,000"
T,T,camera,50,19,A13CAAOJ5GP4UQ,26-35,Male,Masters,"0 - $100,000"
T,T,headphone,50,27,A13CAAOJ5GP4UQ,26-35,Male,Masters,"0 - $100,000"
T,T,laptop,50,37,A13CAAOJ5GP4UQ,26-35,Male,Masters,"0 - $100,000"
T,T,camera,48,47,A13JQTLPWXZD6L,26-35,Male,Masters,"$100,001 - $200,000"
T,T,headphone,44,38,A13JQTLPWXZD6L,26-35,Male,Masters,"$100,001 - $200,000"
T,T,laptop,41,37,A13JQTLPWXZD6L,26-35,Male,Masters,"$100,001 - $200,000"
T,T,camera,42,25,A141B3S3ZLY8DI,36-45,Male,Bachelors,"0 - $100,000"
T,T,headphone,47,37,A141B3S3ZLY8DI,36-45,Male,Bachelors,"0 - $100,000"
T,T,laptop,39,15,A141B3S3ZLY8DI,36-45,Male,Bachelors,"0 - $100,000"
T,T,camera,47,46,A147U23GFDCRW6,56+,Female,Masters,"$1,000,000+"
T,T,headphone,44,45,A147U23GFDCRW6,56+,Female,Masters,"$1,000,000+"
T,T,laptop,45,43,A147U23GFDCRW6,56+,Female,Masters,"$1,000,000+"
T,T,camera,43,41,A14DAR2DMHRW9Q,18-25,Female,Bachelors,"0 - $100,000"
T,T,headphone,27,26,A14DAR2DMHRW9Q,18-25,Female,Bachelors,"0 - $100,000"
