Timestamp,Group,Bin_group,camera_function0,camera_attributes0,camera_features0,camera_design0,camera_satisfaction0,camera0,camera_function1,camera_attributes1,camera_features1,camera_design1,camera_satisfaction1,camera1,headphone_satisfaction0,headphone_design0,headphone_attributes0,headphone_features0,headphone_function0,headphone0,headphone_design1,headphone_satisfaction1,headphone_attributes1,headphone_features1,headphone_function1,headphone1,laptop_function0,laptop_design0,laptop_attributes0,laptop_features0,laptop_satisfaction0,laptop0,laptop_design1,laptop_function1,laptop_attributes1,laptop_features1,laptop_satisfaction1,laptop1,worker_id,age,gender,education,income
3/26/2021 8:15,LC,C,10,8,9,10,9,46,8,9,9,9,9,44,9,9,9,9,9,45,9,9,9,9,9,45,10,10,10,10,9,49,9,9,9,9,9,45,32,26-35,Male,Bachelors,"$300,001 - $500,000"
3/23/2021 6:40,LC,C,8,8,7,7,9,39,7,7,8,8,8,38,9,10,9,9,8,45,8,8,8,8,7,39,6,9,8,8,8,39,8,6,7,7,8,36,11111,46-55,Female,Bachelors,"0 - $100,000"
3/28/2021 16:14,T,T,4,4,6,6,6,26,7,7,8,8,8,38,8,8,7,8,8,39,9,5,9,8,7,38,7,7,8,8,8,38,9,4,6,6,7,32,: COPIEDA2LULA8Q07RFN5,26-35,Male,Bachelors,"$100,001 - $200,000"
3/21/2021 22:33,HC,C,9,8,9,8,9,43,9,8,9,8,9,43,10,8,9,9,9,45,9,10,9,9,9,46,9,9,9,9,9,45,9,9,9,9,9,45,A020119332PTI0Z709SLO,26-35,Female,Bachelors,"0 - $100,000"
3/28/2021 16:24,LC,C,10,10,10,10,10,50,6,10,8,10,9,43,5,5,6,10,8,34,2,5,8,8,6,29,10,8,8,10,8,44,6,4,6,9,6,31,A04923991F3PSJNU8U7NT,26-35,Male,High school/GED,"0 - $100,000"
3/20/2021 19:52,T,T,9,8,9,9,7,42,9,9,9,9,8,44,9,8,9,8,8,42,10,10,10,10,10,50,8,7,7,6,8,36,9,10,10,10,10,49,A079789010EVSPIBCSWFO,26-35,Male,Bachelors,"0 - $100,000"
3/18/2021 4:07,T,T,10,9,10,9,9,47,10,10,9,9,9,47,7,8,9,9,9,42,9,7,8,9,9,42,4,2,3,3,2,14,3,2,3,3,2,13,A10042UW3Q59GF,26-35,Female,Bachelors,"0 - $100,000"
3/19/2021 12:17,LC,C,8,6,9,8,9,40,8,10,9,10,10,47,9,9,10,9,7,44,10,7,9,7,6,39,9,10,8,8,9,44,9,10,10,8,9,46,A103A7PRZURWVQ,26-35,Male,Masters,"$300,001 - $500,000"
3/21/2021 7:55,HC,C,8,10,6,8,6,38,8,10,7,8,7,40,6,9,6,6,9,36,6,10,9,6,8,39,4,9,6,8,6,33,8,6,7,9,8,38,A10BM9M5Q8J6K0,56+,Male,Bachelors,"$300,001 - $500,000"
3/22/2021 1:24,HC,C,10,9,8,8,9,44,10,9,10,8,9,46,10,10,9,8,9,46,10,9,10,9,10,48,10,9,9,8,9,45,10,9,10,9,10,48,A1100QF8QXZJP7,26-35,Female,Masters,"0 - $100,000"
3/17/2021 19:40,T,T,10,9,9,9,9,46,10,9,9,9,9,46,9,9,9,9,9,45,9,9,9,9,9,45,10,10,10,10,10,50,10,10,10,10,10,50,A113XPG6TXPMO2,56+,Female,Masters,"0 - $100,000"
3/20/2021 18:13,LC,C,9,8,9,8,8,42,9,9,9,8,9,44,8,8,8,9,9,42,8,8,9,9,9,43,8,7,9,9,8,41,7,8,8,8,8,39,A11C3YKXF3IKGU,46-55,Male,Bachelors,"$100,001 - $200,000"
3/27/2021 18:45,T,T,9,9,9,8,8,43,10,10,10,10,9,49,7,6,7,8,8,36,8,9,6,4,6,33,9,9,9,8,9,44,9,9,9,9,9,45,A11ILN5YSUDVG8,56+,Female,Masters,"0 - $100,000"
3/21/2021 16:44,LC,C,8,8,9,8,9,42,8,9,7,8,8,40,9,9,6,7,7,38,8,7,7,7,7,36,8,8,9,9,9,43,8,8,8,9,8,41,A11NQRQHMYW5N,36-45,Male,Bachelors,"0 - $100,000"
3/26/2021 22:18,HC,C,9,9,9,9,9,45,9,9,9,9,9,45,7,9,8,8,7,39,8,7,7,6,7,35,6,10,8,8,9,41,9,6,8,8,8,39,A11RICJRXZ9Z0P,36-45,Female,Bachelors,"$100,001 - $200,000"
3/25/2021 22:13,T,T,3,3,3,3,3,15,2,1,2,2,2,9,8,8,9,8,8,41,5,5,5,5,2,22,3,3,3,3,3,15,1,1,1,1,1,5,A12H8YZ180UW05,26-35,Female,High school/GED,"0 - $100,000"
3/18/2021 5:20,T,T,8,8,6,7,8,37,8,8,6,7,7,36,8,8,7,7,7,37,7,6,7,7,7,34,8,8,9,7,8,40,8,8,7,8,8,39,A12NNJKHIZP1TY,56+,Female,High school/GED,"0 - $100,000"
3/18/2021 0:51,T,T,7,8,7,8,7,37,8,7,8,8,8,39,8,7,8,8,8,39,8,7,8,7,8,38,7,6,7,8,8,36,7,6,8,8,7,36,A12UVTYGWSV0G,36-45,Female,Bachelors,"0 - $100,000"
